"tarifit","nl","en","cefr_oud","woordsoort","cefr_nieuw","thema","zekerheid","tags_nieuw"
"ssaas","neerleggen, zetten","put down, put down","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssaaweṯ","dorsen","threshing","B2","ww","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::land"
"ssalam","Hallo, de vrede","Hello, peace","B2","znw","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::taal"
"ssaḇun","Zeep","Soap","B2","ww","A1","huis & huishouden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::huis"
"sscen / sseḏḥaa","tonen, laten zien","show, show","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssecc","voeren, te eten geven","to feed, to give food","C2","ww","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::land"
"ssefhem","uitleggen, doen begrijpen","explain, make you understand","B2","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ssefsi","smelten, ontvouwen","melting, unfolding","B2","ww","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::nat"
"ssefṯ","zaterdag","Saturday","B2","ww","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::tijd"
"ssehma","warm maken","to heat up","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssehnunneḍ","wikkelen","to wrap","C1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssejjaaṯ","boom (collectief)","tree (collective)","C1","ww","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::nat"
"ssekk","sturen","to steer","B2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssekkaa","wakker maken, doen opstaan","to wake up, to make stand up","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssekwila / madrase","school","school","B2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ssemm","Gif","Poison","B2","ww","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gez"
"ssemneɣ","doen vechten","make fight","C2","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssen","weten","to know","B1","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"ssenjem","voorkomen","to prevent","B2","ww","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ov"
"ssens","iemand laten overnachten","let someone stay overnight","B2","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssensřeṯ / tisersetc","ketting, de ruggengraat","chain, the spine","C1","znw","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::kled"
"ssenta","starten, beginnen","start, start","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"sseqnunni","rollen","roll","C1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"sseqsa","vragen","to ask","B2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ssewyeḏ","voorbereiden","to prepare","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssexsi","blussen, doven, uitzetten","extinguish, extinguish, turn off","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssexṣaa","bederven","spoil","B2","ww","B1","eten & drinken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eten"
"sseŋw / ṯaaṯaa","koken","to cook","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"sseǧum","ladder","ladder","B2","ww","A2","gereedschap & materiaal","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ger"
"sseɛḏ","geluk","happiness","B2","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"sseɣmi","verbouwen","renovate","B2","ww","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::land"
"sseɣři","slikken","swallow","B2","ww","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::lich"
"sseḇsi","de pijp","the pipe","B2","znw","B1","overig","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::ov"
"sseḏha","schamen","ashamed","B2","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"sseḥḥ","waarheid","truth","B2","ww","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ov"
"ssfaaɣ / aḏaṛ","buigen","bend","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssiaḏ / sird","wassen, kleden","to wash, to dress someone","B2","ww","A1","huis & huishouden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::huis"
"ssibba / sabab","Reden","Rode","B2","ww","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ov"
"ssidef","binnenlaten, naar binnen brengen","to let in, to bring in","C2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssiheř","moe maken","make you tired","C2","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssiweř","praten, spreken","talk, speak","B2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ssiweḏ","iets brengen, doen aankomen","to bring something, to make something arrive","B2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssiyy","gluren, kijken","peeking, watching","B2","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssizzeř","doen rennen","make you run","C2","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssiɣ / ceɛ","aansteken","light","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssmun","samenvoegen","to combine","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssnuffaa","verstoppen","hide","C1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssqaa","stil zijn","be quiet","B2","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"ssqaqeb","Kloppen","To beat","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssru","doen huilen","make you cry","B1","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssu","uitspreiden","spread out","B1","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssuq","markt","market","C2","ww","A1","handel & geld","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::hdl"
"ssusef","spugen","spit","B2","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"ssuḏ","blazen","blow","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssuṭaa","eisen, vragen","demands, questions","B2","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ssxarreq","liegen","lie","C1","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ssyiwen","vol maken","to fill","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ssɣaa / ɛellem","onderwijzen","teach","B2","ww","B1","taal & school & communicatie","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::taal"
"ssɣuyy","gillen","scream","B2","ww","B1","taal & school & communicatie","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::taal"
"ssɣuyy / jeɛjeɛ","schreeuwen","shout","B2","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ssḇedd","ophouden","to hold up","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ssḇeḥ","Ochtend","Morning","B2","ww","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::tijd"
"ssḥaaq / sscmeḏ","branden","burn","B2","ww","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::nat"
"ssḥess","luisteren","listen","B2","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"ssḥua","de magie","the magic","B2","znw","B1","religie & leven-dood","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::rel"
"stilu","pen","pen","B2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"stumaɣu","Maag","Stomach","B2","ww","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::lich"
"su","drinken","drinks","B1","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"suddem","zoenen","to kiss","B2","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"supa","soep","soup","B1","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"suqwaḥ","Suiker","Sugar","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"susef","spuwen","spit","B2","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"susiṯ","de worst","the sausage","B2","znw","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::eten"
"swaday","Hieronder","Below","B2","ww","A2","plaats & richting & geografie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::pl"
"swadday","naar beneden, omlaag","down","B2","ww","A2","plaats & richting & geografie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::pl"
"sxef","flauwvallen","fainting","B1","ww","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gez"
"syaḏ ṛeqcuɛ","(de spullen) afwassen","wash (the things).","C2","znw","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::huis"
"sřeḥ","verzoenen, beter maken","to reconcile, to make better","B1","ww","B2","samenleving & volken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::sam"
"sřuddi","kwijlen","drool","B2","ww","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::lich"
"sḏeɛ","Irriteren","Annoy","B1","ww","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gev"
"Tadsa","grapje / lachen","Joking, laughing","B2","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"tajjač","de weduwe","the widow","B2","znw","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::fam"
"Takniyet","Achternaam","Surname","C1","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"tambaa","de postzegel","the postage stamp","B2","znw","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::taal"
"tejjaa","rijk","rich","B2","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"trisinti","Elektriciteit","Electricity","C1","ww","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::huis"
"tsɛa","negen","nine","B1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ttaa","verzoeken","requests","B1","ww","B1","taal & school & communicatie","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::taal"
"ttaaf (i) / zzaṭ","naast","next to","B1","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"ttaas","schuldig zijn","be guilty","B2","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ttaman","Prijs","Price","B2","ww","A1","handel & geld","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::hdl"
"ttariqa","de manier","the way","B2","znw","A1","overig","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::ov"
"ttaḇa","het tabak","the tobacco","B2","znw","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::gez"
"ttaḇec","de blauwe plek","the bruise","B2","znw","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::gez"
"ttaḇeɛ","het litteken","the scar","B2","znw","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::gez"
"ttef","grijpen, vangen, krijgen","grab, catch, get","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ttes","slapen","to sleep","B1","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"tteḇheṯ","verrast of verbaasd","surprised or amazed","B2","ww","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gev"
"tteḇsi","Bord","Board","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"ttfuḥ","ruiken, geurig","to smell, fragrant","B2","ww","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::lich"
"ttilifun","de telefoon","the phone","C1","znw","A1","overig","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::ov"
"ttiliḇizyun","Televisie","Television","C2","ww","A1","overig","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::ov"
"ttimsaḥ","het krokodil","the crocodile","B2","znw","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::dier"
"ttmenyaṯ","geld","money","C1","ww","A1","handel & geld","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::hdl"
"ttqacia","de sok of kous","the sock or stocking","B2","znw","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::kled"
"ttrankiř","stil","quiet","C1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ttu","vergeten","forget","B1","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"ttumubin","car","car","C1","ww","A2","vervoer & reizen","check","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::verv"
"ttuḇis","Bus","Bus","B2","ww","A1","vervoer & reizen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::verv"
"ttřam","duisternis","darkness","B2","ww","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::nat"
"ttřaṯa","dinsdag","Tuesday","B2","ww","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::tijd"
"tub","berouw hebben","to repent","B1","ww","B2","religie & leven-dood","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::rel"
"tuddinṯ","druppel","drop","B2","ww","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::nat"
"tumaṭic","Tomaat","Tomato","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"turnifis","de schroevendraaier","the screwdriver","C1","znw","B1","gereedschap & materiaal","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::ger"
"tuɣa","verleden-partikel","past-particle","B1","ww","B2","functiewoorden","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::gram"
"tɣiř","nadenken","think it over","B1","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"ṯaak","alleen laten (+ IO)","leave alone (+ IO)","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ṯaftic","wiek (van olielamp)","wick (of oil lamp)","B2","ww","B2","overig","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::ov"
"ṯamza","ogress (vrouwelijk monster)","ogress (female monster)","B2","ww","B2","religie & leven-dood","check","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::rel"
"ṯanexxač","stro","straw","C1","ww","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::land"
"ṯaneyḏa","poeder","powder","C1","ww","B1","overig","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::ov"
"ṯayḏuaṯ","melkpot","milk pot","C1","ww","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eten"
"ṯazeggʷaaṭ","soort struik (Ziziphus lotus)","species of shrub (Ziziphus lotus)","C2","ww","B2","natuur & weer","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::nat"
"ṯazeqqa","dak","roof","C1","ww","A1","huis & huishouden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::huis"
"ṯazewḏa","groot houten couscousbord","large wooden couscous plate","C1","ww","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eten"
"ṯazṛuṭ / biṭariya","kleine steen, batterij","small stone, battery","B2","ww","B2","natuur & weer","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::nat"
"ṯaɛrabṯ","Arabische (vrouw, taal)","Arabic (woman, language)","C1","ww","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::sam"
"ṯaḥraymecṯ","sluwheid","cunning","C2","ww","B2","eigenschappen & kleuren","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eig"
"ṯaṛyenṯ","vrouwelijke kameel","female camel","C1","ww","B2","dieren","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::dier"
"ṯbuaẓeṯ","klein raam","small window","C1","ww","B2","huis & huishouden","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::huis"
"ṯemẓi","kindertijd","childhood","B2","ww","B1","tijd","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::tijd"
"ṯesɛin","negentig","ninety","B2","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ṯicti","blaas, klap","blow, blow","B2","ww","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::lich"
"ṯini","dadel","date","B2","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"ṯiwzaṭin","onrijpe tarwe (alleen mv.)","unripe wheat (plural only)","C1","ww","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::land"
"ṯiyuqiṯ","parel","pearl","C1","ww","B1","kleding & sieraad","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::kled"
"ṯiḏaatṯ","korenaar, korrel","ear of corn, grain","C1","ww","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::land"
"ṯiṛefṯ, zaaɛ","zaaien","to sow","C2","ww","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::land"
"ṯmanyin","tachtig","eighty","C1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ṯmentac","achttien","eighteen","C1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ṯrist","schapenwol","sheep's wool","B2","ww","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::land"
"ṯseɛtac","negentien","nineteen","C1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ṯsunetṯ","luier","diaper","C1","ww","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::fam"
"ṯwacc","gegeten worden","be eaten","B2","ww","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eten"
"ṯwaccaaẓ","geploegd worden","be ploughed","C1","ww","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::land"
"ṯwasizzeř","gemaakt worden te rennen","are made to run","C1","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ṯwazzu","geplant worden","be planted","B2","ww","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::land"
"ṯřatin","dertig","thirty","B2","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ṯřettac","dertien","thirteen","C1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"tḇan","lijken","corpses","B1","ww","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ov"
"uaja","dromen","dreams","B1","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"uatu","vijgenboom","fig tree","B1","ww","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::nat"
"uaɣ","goud","gold","B1","ww","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ov"
"uccen","jakhals, de wolf","jackal, the wolf","B2","znw_m_ev","B2","dieren","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"uff","nat","wet","B1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ulaḇudd / mya ḏi mya","zeker","sure","B2","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"uma","Broer","Brother","A1","ww","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::fam"
"uma amezzyan","de jongere broer","the younger brother","C2","znw","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::fam"
"umi","aan wie","to whom","C1","vraagw","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::vraagw tarifit::thema::gram"
"uraa","bruiloft","wedding","B1","ww","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::fam"
"ussan","dagen, periode","days, period","B2","ww","A2","tijd","check","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::tijd"
"usu","hoesten","cough","B1","ww","A2","gezondheid","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gez"
"uyua","lopen","to walk","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"uzzař","het schild, ijzer","the shield, iron","B2","znw","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::sam"
"učma","Zus","Sister","A2","ww","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::fam"
"učma ṯameqqrant","de oudere zus","the older sister","C2","znw","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::fam"
"učma ṯamezzyant","de jongere zus","the younger sister","C2","znw","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::fam"
"uř","hart","heart","B1","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"uřuf","de scheiding","the divorce","B1","znw","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::fam"
"uḏay","Jood","Jew","B1","ww","A2","religie & leven-dood","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::rel"
"uḏem / aɣembub","gezicht","sight","B1","znw_m_ev","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"uḏum","druipen, druppelen","drip, drip","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"uṛu","handvol, Euro","handful, Euro","B1","ww","B1","getallen & hoeveelheid","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::get"
"waa-ssi","ik weet niet","I don't know","B2","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"waadyi","is niet (negator non-verbale predicaten)","is not (negator non-verbal predicates)","B2","ww","B1","functiewoorden","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gram"
"wah","ja","Yes","A1","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"walu","geen, niets","no, nothing","B2","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"wantis","de handschoen","the glove","B2","znw","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::kled"
"warda","Roze","Pink","B2","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"wata","plat","flat","B1","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"waxxa","hoewel, zelfs als, oké","although, even if, okay","A2","ww","A2","functiewoorden","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gram"
