a / wa / waḏ,This,A1,vnw_aanw,tarifit::cefr::A1 tarifit::woordsoort::vnw_aanw
imendi,"barley, grain",C1,znw_m_mv,tarifit::cefr::C1 tarifit::woordsoort::znw_m_mv
imenɣi,Fight,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
imexṯan,the circumcision,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
imez,the thumb,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
imeǧařen,the testicles,C1,znw_m_mv,tarifit::cefr::C1 tarifit::woordsoort::znw_m_mv
imqeddef,the paddle,C1,znw_m_mv,tarifit::cefr::C1 tarifit::woordsoort::znw_m_mv
inaafeḏ,spleen,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
inaḏan,good deeds,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
infaa,the louse,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
ini,"Tell, say",A1,ww,tarifit::cefr::A1 tarifit::woordsoort::ww
insi,hedgehog,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
inu,from me,B2,vnw_bez,tarifit::cefr::B2 tarifit::woordsoort::vnw_bez
Iqda,It's over,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iraa,to play,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
iri (n) umaayuř,the collar,C2,znw_m_mv,tarifit::cefr::C2 tarifit::woordsoort::znw_m_mv
isawen,Helpful,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
isem,"name, naming day",B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
isiyni,the needle,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
isḏeḥḥac,Funny,C1,znw_m_mv,tarifit::cefr::C1 tarifit::woordsoort::znw_m_mv
itsegweḏ,Scary,C1,znw_m_mv,tarifit::cefr::C1 tarifit::woordsoort::znw_m_mv
iwa,"So, well! (exclamation)",B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iwettḏen,the nee,C1,znw_m_mv,tarifit::cefr::C1 tarifit::woordsoort::znw_m_mv
iweṯ unẓaṛ,Rain,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
iwzan,roughly milled wheat,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iwḏan,people,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::ww
ixariqen,Lie,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
ixef,self (reflexive),B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
ixḏaa,to elect,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ixṣa / yaṛez,Broken,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iyaaynen,double saddle bag,C1,znw_m_mv,tarifit::cefr::C1 tarifit::woordsoort::znw_m_mv
iyaǧen,the shoulder blade,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iyyaa,field,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
izaggwen,the pubic hair,C1,znw_m_mv,tarifit::cefr::C1 tarifit::woordsoort::znw_m_mv
izi,fly,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
izmaa,the lamb,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
izzaa,"to go ahead, to lead",B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iřef,"the pig, wild boar",B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iřes,tongue,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iri,"neck, to be",B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iǧi,the rope,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iɣemzan,big teeth,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iɣess,bone,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iɣeyḏ,the kid,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iɣza,river,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iɣzaa,the river or stream,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iɣřa,duration,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iɣɣeḏ,Ash,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iḇawn,bean,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iḍes,sleep,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iḏammen,blood,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iḏennaḏ,yesterday,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
iḏewřan,the in-laws,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iḏiyḏi,the mortar,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iṛi,Existence (Having),B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iṯri,star,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iṯwassen / meɛruf,known,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
jaaḥ,injure,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
jbeḏ,Pull,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
jeddi,Grandfather,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
jeyyef,to suffocate,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
jjaaf,big rock,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
jjařḏa,Garden,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
jjaǧ,to swear,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
jjdiḏ,new,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
jjeddi,"Grandpa, Grandfather",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
jjemɛa,Friday,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
jjenn,"spirit, ǧinn",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
jjnun,the anger,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
jjuanal,the newspaper,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
jjuf / ibbec,chest,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
jmeɛ,"to clean up, to collect",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
jmeḏ,freeze,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
juffiḏ,the buttocks,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
kacef,councils,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
kacita,(music) cassette,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
kalacnikuf,Kalashnikov,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
kamira,camera,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
kangaru,the kangaroo,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
karru,the cart or cart,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
kartpustal,the postcard,C1,znw,tarifit::cefr::C1 tarifit::woordsoort::znw
kasku,the helmet,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
kebb,to pour,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
kemmeř,kill,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
kenniw (m) / kennint (v),you,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
keyyef,smoking,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
Kicc,With you,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
kiḏi,With me,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
kk,"to last, to pass by",C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
kkaa,to get up,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
kkes,to delete,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
kkʷua / sayeṛ,"insult, insult",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
kmeř,"whole, complete",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
kruci,the cross,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
kuffu,the foam,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
kuka,"Coca-Cola, soft drink",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
kukayin,cocaine,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
kuku,the coconut,B1,znw,tarifit::cefr::B1 tarifit::woordsoort::znw
kulur,the color,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
kuř,each,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
kuřci,Everything,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
kṯaa,more,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
l'islam,Islam,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
laksiḏa,Accident,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lalla,wife of paternal uncle; title for lady,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lambulans,Ambulance,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
landris,address,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lanṯirneṯ,Internet,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lasnam,Idol,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
laspirin,Aspirin,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
laḏab,politeness,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lbaladiya,Local authority,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lbaliza,Suitcase,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lbanan,Banana,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lbaṭima,Flat,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lbuqaḏyu,Brooǧe,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lcarṯe,Card,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
leccin,Orange,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lfaqi,the priest,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
lfasaḏ,corruption,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lfawaḥic,"fornication, adultery",C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lfikra,Idea,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lfil,the elephant,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
lfiras,Pear,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lfuyyaa,immoral acts,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lfṛan,Brake,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lgamba,Shrimp,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lgaṛaj,Garage,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
limṯiḥan,Exam,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lintixaḇ,the election,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
lisans,Petrol,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lisṯiɛmaṛ,Usage,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lixiya,Bleach,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
liṯru,Litre,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ljanuḇ,the south,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ljarima,crime,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::ww
jheḏ,"power, strength",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ljihad,holy battle,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lkanisa,church,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lkitab,book,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lkufr,Trunk,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lla,no,A1,ww,tarifit::cefr::A1 tarifit::woordsoort::ww
llajua,brick (collective),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
llaḇaḇu,the countertop,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
llaḥa,Busy,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
llecccin,orange (coll.),C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
llimun,Lemon,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
llisṯa,List,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
llumiya,the calendar,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
lmakla,food,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lmakṯaba,Library,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lmal / agṛa,possess,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
lmalik,king,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lmasafa / lbuɛḏ,distance,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lmecṛubaṯ,Soda,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lmexzen,the government,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
lmuhanḏis,Engineer,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lmuhimm,anyway,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lmusawana,Staff,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lmuwatin,the citizen,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
lmuɛellim,teacher,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lmuḏir,Director,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lmuṭuṛ,Moped,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lpitrul,the petroleum,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
lqissa / ṯḥaǧiṯ,story,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
luɣa / awař,Language,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
lwaliḏin,parents,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lwasṯ,Center,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lwelda,uterus,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lweḥc,Lack,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lxatař,Danger,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lxutḇa,the speech,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
lyamiɛa,university,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lyaw,Climate,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
lɛalama,the omen,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
lɛaza,Condolences,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lɛaḏa,the habit,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
lɛiqaḇ,the punishment,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
lɛud,lute,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
lɛutla / fakans,Holiday,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lɛɛziz,beloved,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lḇala,shovel,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lḥadiṯ,Prophetic Tradition (Hadith),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lḥayawan,Animal,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
lḥayawan n ṯaḏḏarṯ,Pet,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
lḥikma,wisdom,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
lḥubb,love,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ma,"question particle (yes, no)",A2,vraagw,tarifit::cefr::A2 tarifit::woordsoort::vraagw
maamita,metal pan,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
maatayen,twice,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
maaṯayen,twice,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
mabruk,Congratulations,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
macca,the meal,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
macca / walakin,but,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
macina,Machine,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
macina,Train,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
makiyaj,Makeup,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
malṭa,Blanket,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mamec,How,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mami,"while, favorite",B1,vraagw,tarifit::cefr::B1 tarifit::woordsoort::vraagw
man,which,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mandařina,Mandarine,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
mani,where,B2,vraagw,tarifit::cefr::B2 tarifit::woordsoort::vraagw
mani mma,Everywhere,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
mani nneɣniṯ,Somewhere,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
manis,where from,B2,vraagw,tarifit::cefr::B2 tarifit::woordsoort::vraagw
marra,Everyone,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
marḥba,welcome,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
matrikula,the license plate,C1,znw,tarifit::cefr::C1 tarifit::woordsoort::znw
mayemmi,why,B2,vraagw,tarifit::cefr::B2 tarifit::woordsoort::vraagw
maziɣ,Berber (M),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mařa,as,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
maḥta n ṭṭiyara,Airport,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
maṯalan,For example,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
maṯrikula,License plate,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
mbra,Except,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mbɛeḏ,"later, afterwards",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mceḏ,combs,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mecruḇat,the drink,C1,znw,tarifit::cefr::C1 tarifit::woordsoort::znw
mecḥař,how many,B2,vraagw,tarifit::cefr::B2 tarifit::woordsoort::vraagw
mekaniko,Mechanic,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
meskin,poor wretch (pity),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
meřmi,when,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
meɛɛec / dɛa,"beg, curse",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mikaniku,car mechanic,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
milyun,million,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
Minzi,"Because, since, therefore, due to",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
miriw,wide,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
missa / ṭabṛa,table,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
miṯayen,two hundred,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
miziḏ,sweet,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mjaa,mow,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mliḥ,"Fine, good, going well",A2,voegw,tarifit::cefr::A2 tarifit::woordsoort::voegw
mmaani,be added,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
mmenz,be sold,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mmenḍaa,to be thrown away,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mmeṯ,to die,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mmi,the son,A1,znw,tarifit::cefr::A1 tarifit::woordsoort::znw
mmneɣ,to fight,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mmuaḏ,crawl,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mmuḏ,"the braid, to weave or to braid",B1,znw,tarifit::cefr::B1 tarifit::woordsoort::znw
mneɛ,"forbid, detain",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
msaa,to happen,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mseneḏ,lean against each other,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mseřqa,meet,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mseḥ / Sfaḍ,"Wipe, wipe",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mucc,cat,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
muckil,Problem,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
muhimm,Important,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
muka,owl,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mun,accompany,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
museyyala,cassette player,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
mutua,the engine,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
muzaa,lock of hair,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
muziqa,music,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
muřay,groom,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
muřebbeɛ,the square,C1,znw,tarifit::cefr::C1 tarifit::woordsoort::znw
muḇila,the motorcycle,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
muḥaṛ,Impossible,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mxeyyaa,the best,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
mya,one hundred,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
myaa,"harvest, mow",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mřaɣa,calling each other,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
mřaḏas,approaching each other,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mřec,to marry,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mřewṯa,hitting each other,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
Mřič,Melilla,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mɛacaṯ,Company,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
mɣaa / ɣmi,To grow,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
mẓaa,see each other,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
n,of (possession),B1,vz,tarifit::cefr::B1 tarifit::woordsoort::vz
ndeh / gewweḏ,to lead,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ndem,be sorry,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ndeř,buried,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ndi,catch in a trap,B1,znw,tarifit::cefr::B1 tarifit::woordsoort::znw
ndu,jump,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
necc,I,A1,ww,tarifit::cefr::A1 tarifit::woordsoort::ww
neccin,we,A1,vnw_pers,tarifit::cefr::A1 tarifit::woordsoort::vnw_pers
Neffeḍ,"Dust, shake out",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
neffeḥ,sniff,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nehřa,no need,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
netta,he,A1,vnw_pers,tarifit::cefr::A1 tarifit::woordsoort::vnw_pers
nettaṯ,"they, she",A1,vnw_pers,tarifit::cefr::A1 tarifit::woordsoort::vnw_pers
neɣ,kill,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
nhaa,day,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
niaz,the heel,B1,znw,tarifit::cefr::B1 tarifit::woordsoort::znw
nican,"right, correct, straight, straight ahead",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
niccan,"Honest, Precise, Straightforward",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
niɣ,or,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
njaa,scrape,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
nkaa,to deny,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
nnamus,the mosquito,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
Nnaḍuṛ,Nador,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nndfa,to yawn,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nnec / nnem,Your,B2,vnw_bez,tarifit::cefr::B2 tarifit::woordsoort::vnw_bez
nnewwac,"plant, flower (collective)",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nneɣneɣ,stutter,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nneɣni,other,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
nneḍfes,be folded,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nnhara,Today,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nni,which (post-nominal deictic),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nniṭ,just that (emphasis),B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
nnmeř / ṯikeḏfet,ant,B2,znw_v_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_v_mv
nnuaẓem,be opened,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nnum,Get used to it,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
nnumru,the number,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
nnumṛu,Digit (number),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
nnuqaaṯ,the silver,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
